BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
He                                                              
bolsig_input_turner.txt
How to reference in publications:
1) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Grid type                                  0.000    
Maximum energy                             200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
24.39	0.4862E+26
25.78	0.5185E+26
27.24	0.5523E+26
28.79	0.5876E+26
30.42	0.6248E+26
32.15	0.6635E+26
33.97	0.7040E+26
35.90	0.7463E+26
37.94	0.7905E+26
40.09	0.8364E+26
42.37	0.8846E+26
44.77	0.9349E+26
47.31	0.9874E+26
50.00	0.1042E+27
 
 
Energy (eV)	Energy mobility *N (1/m/V/s)
0.2000	0.1311E+26
0.2113	0.1270E+26
0.2234	0.1231E+26
0.2360	0.1193E+26
0.2494	0.1156E+26
0.2636	0.1121E+26
0.2786	0.1086E+26
0.2944	0.1053E+26
0.3111	0.1021E+26
0.3287	0.9898E+25
0.3474	0.9597E+25
0.3671	0.9305E+25
0.3880	0.9023E+25
0.4100	0.8750E+25
0.4333	0.8486E+25
0.4578	0.8230E+25
0.4838	0.7984E+25
0.5113	0.7745E+25
0.5403	0.7514E+25
0.5710	0.7291E+25
0.6034	0.7075E+25
0.6376	0.6866E+25
0.6739	0.6665E+25
0.7121	0.6471E+25
0.7526	0.6283E+25
0.7953	0.6103E+25
0.8405	0.5928E+25
0.8882	0.5760E+25
0.9385	0.5599E+25
0.9918	0.5444E+25
1.048	0.5295E+25
1.108	0.5152E+25
1.170	0.5015E+25
1.237	0.4884E+25
1.307	0.4760E+25
1.381	0.4641E+25
1.460	0.4528E+25
1.543	0.4421E+25
1.630	0.4320E+25
1.723	0.4224E+25
1.821	0.4134E+25
1.924	0.4050E+25
2.033	0.3971E+25
2.149	0.3898E+25
2.270	0.3831E+25
2.399	0.3769E+25
2.536	0.3713E+25
2.679	0.3663E+25
2.832	0.3619E+25
2.992	0.3581E+25
3.162	0.3549E+25
3.342	0.3523E+25
3.531	0.3503E+25
3.732	0.3489E+25
3.944	0.3479E+25
4.168	0.3475E+25
4.404	0.3476E+25
4.654	0.3483E+25
4.919	0.3493E+25
5.198	0.3509E+25
5.493	0.3531E+25
5.804	0.3558E+25
6.134	0.3592E+25
6.482	0.3634E+25
6.850	0.3684E+25
7.239	0.3743E+25
7.650	0.3811E+25
8.084	0.3889E+25
8.543	0.3975E+25
9.028	0.4066E+25
9.541	0.4161E+25
10.08	0.4258E+25
10.65	0.4359E+25
11.26	0.4459E+25
11.90	0.4558E+25
12.57	0.4658E+25
13.29	0.4754E+25
14.04	0.4847E+25
14.84	0.4936E+25
15.68	0.5020E+25
16.57	0.5099E+25
17.51	0.5173E+25
18.51	0.5240E+25
19.56	0.5301E+25
20.67	0.5355E+25
21.84	0.5403E+25
23.08	0.5444E+25
24.39	0.5479E+25
25.78	0.5507E+25
27.24	0.5530E+25
28.79	0.5545E+25
30.42	0.5558E+25
32.15	0.5563E+25
33.97	0.5565E+25
35.90	0.5562E+25
37.94	0.5554E+25
40.09	0.5543E+25
42.37	0.5528E+25
44.77	0.5511E+25
47.31	0.5491E+25
50.00	0.5469E+25
 
 
Energy (eV)	Energy diffusion coef. D*N (1/m/s)
0.2000	0.1598E+25
0.2113	0.1636E+25
0.2234	0.1674E+25
0.2360	0.1714E+25
0.2494	0.1755E+25
0.2636	0.1796E+25
0.2786	0.1839E+25
0.2944	0.1883E+25
0.3111	0.1928E+25
0.3287	0.1975E+25
0.3474	0.2022E+25
0.3671	0.2071E+25
0.3880	0.2122E+25
0.4100	0.2173E+25
0.4333	0.2227E+25
0.4578	0.2281E+25
0.4838	0.2337E+25
0.5113	0.2395E+25
0.5403	0.2455E+25
0.5710	0.2516E+25
0.6034	0.2579E+25
0.6376	0.2645E+25
0.6739	0.2712E+25
0.7121	0.2781E+25
0.7526	0.2852E+25
0.7953	0.2926E+25
0.8405	0.3003E+25
0.8882	0.3082E+25
0.9385	0.3164E+25
0.9918	0.3249E+25
1.048	0.3338E+25
1.108	0.3430E+25
1.170	0.3526E+25
1.237	0.3627E+25
1.307	0.3732E+25
1.381	0.3843E+25
1.460	0.3960E+25
1.543	0.4083E+25
